holeid,from,to,X,Y,Z,Lithology_code,MOC_code,Structure_code,GRADE
MRCB21,497.5,498,9906.053083,11175.9604,-326.65475,7,12,0,0.01
MRCB21,498,498.5,9906.218398,11176.15764,-327.08325,7,12,0,0.09
MRCB21,498.5,499,9906.383713,11176.35489,-327.51175,7,12,0,0.05
MRCB21,499,499.5,9906.549028,11176.55213,-327.94025,8,11,0,0.23
MRCB21,499.5,500,9906.714343,11176.74938,-328.36875,8,11,0,0.1
MRCB21,500,500.5,9906.879658,11176.94662,-328.79725,8,11,0,0.14
MRCB21,500.5,501,9907.044973,11177.14387,-329.22575,8,11,0,0.18
MRCB21,501,501.5,9907.210288,11177.34111,-329.65425,8,11,0,0.27
MRCB21,501.5,502,9907.375603,11177.53836,-330.08275,8,11,0,0.11
MRCB21,502,502.5,9907.540918,11177.7356,-330.51125,8,11,0,0.12
MRCB21,502.5,503,9907.706233,11177.93285,-330.93975,8,11,0,0.26
MRCB21,503,503.5,9907.871548,11178.13009,-331.36825,8,11,0,0.06
MRCB21,503.5,504,9908.036863,11178.32734,-331.79675,8,11,0,0.17
MRCB21,504,504.5,9908.202178,11178.52458,-332.22525,8,11,0,0.26
MRCB21,504.5,505,9908.367493,11178.72183,-332.65375,8,11,0,0.06
MRCB21,505,505.5,9908.532808,11178.91907,-333.08225,8,11,0,0.16
MRCB21,505.5,506,9908.698123,11179.11632,-333.51075,8,11,0,0.07
MRCB21,506,506.5,9908.863438,11179.31356,-333.93925,8,11,0,0.04
MRCB21,506.5,507,9909.028753,11179.51081,-334.36775,1,8,2,0.03
MRCB21,507,507.5,9909.194068,11179.70805,-334.79625,1,8,2,0.04
MRCB21,507.5,508,9909.359383,11179.9053,-335.22475,1,8,2,0.01
MRCB21,508,508.5,9909.524698,11180.10254,-335.65325,1,8,0,0.03
MRCB21,508.5,509,9909.690013,11180.29979,-336.08175,1,8,0,0.02
MRCB21,509,509.5,9909.855328,11180.49703,-336.51025,1,8,0,0.01
MRCB21,509.5,510,9910.020643,11180.69428,-336.93875,8,13,0,0.04
MRCB21,510,510.5,9910.185958,11180.89152,-337.36725,8,13,0,0.06
MRCB21,510.5,511,9910.351273,11181.08877,-337.79575,8,13,0,0.17
MRCB21,511,511.5,9910.516588,11181.28601,-338.22425,8,13,0,0.36
MRCB21,511.5,512,9910.681903,11181.48326,-338.65275,8,13,0,0.04
MRCB21,512,512.5,9910.847218,11181.6805,-339.08125,8,13,0,0.03
MRCB21,512.5,513,9911.012533,11181.87775,-339.50975,8,13,0,0.04
MRCB21,513,513.5,9911.177848,11182.07499,-339.93825,8,13,0,0.05
MRCB21,513.5,514,9911.343163,11182.27224,-340.36675,8,13,0,0.1
MRCB21,514,514.5,9911.508478,11182.46948,-340.79525,8,14,1,0.06
MRCB21,514.5,515,9911.673793,11182.66673,-341.22375,8,15,1,0.06
MRCB21,515,515.5,9911.839108,11182.86397,-341.65225,8,15,1,0.11
MRCB21,515.5,516,9912.004423,11183.06122,-342.08075,8,15,1,0.13
MRCB21,516,516.5,9912.169738,11183.25846,-342.50925,8,15,1,0.14
MRCB21,516.5,517,9912.335053,11183.45571,-342.93775,8,15,1,0.07
MRCB21,517,517.5,9912.500368,11183.65295,-343.36625,8,8,0,0.02
MRCB21,517.5,518,9912.665683,11183.8502,-343.79475,8,8,0,0.03
MRCB21,518,518.5,9912.830998,11184.04744,-344.22325,8,8,0,0.01
MRCB21,518.5,519,9912.996313,11184.24469,-344.65175,8,8,0,0.01
MRCB21,519,519.5,9913.161628,11184.44193,-345.08025,8,8,0,0.01
MRCB21,519.5,520,9913.326943,11184.63918,-345.50875,8,8,0,0.03
MRCB21,520,520.5,9913.492258,11184.83642,-345.93725,8,8,0,0.04
MRCB21,520.5,521,9913.657573,11185.03367,-346.36575,8,8,0,0.07
MRCB21,521,521.5,9913.822888,11185.23091,-346.79425,8,8,0,0.03
MRCB21,521.5,522,9913.988203,11185.42816,-347.22275,8,8,0,0.18
MRCB21,522,522.5,9914.153518,11185.6254,-347.65125,8,8,0,0.08
MRCB21,522.5,523,9914.318833,11185.82265,-348.07975,8,8,0,0.01
MRCB21,523,523.5,9914.484148,11186.01989,-348.50825,9,8,0,0.01
MRCB21,523.5,524,9914.649463,11186.21714,-348.93675,9,8,0,0.01
MRCB21,529,529.5,9916.467928,11188.38683,-353.65025,9,14,2,0.03
MRCB21,529.5,530,9916.633243,11188.58408,-354.07875,9,14,2,0.03
MRCB21,530,530.5,9916.798558,11188.78132,-354.50725,9,14,2,0.01
MRCB21,530.5,531,9916.963873,11188.97857,-354.93575,9,14,2,0.01
MRCB21,531,531.5,9917.129188,11189.17581,-355.36425,9,14,2,0.01
MRCB21,531.5,532,9917.294503,11189.37306,-355.79275,10,14,0,0.01
MRCB21,532,532.5,9917.459818,11189.5703,-356.22125,10,14,0,0.07
MRCB21,532.5,533,9917.625133,11189.76755,-356.64975,10,14,0,0.01
MRCB21,533,533.5,9917.790448,11189.96479,-357.07825,10,14,0,0.1
MRCB21,533.5,534,9917.955763,11190.16204,-357.50675,10,14,0,0.01
MRCB21,534,534.5,9918.121078,11190.35928,-357.93525,10,14,0,0.07
MRCB21,534.5,535,9918.286393,11190.55653,-358.36375,10,14,0,0.01
MRCB21,535,535.5,9918.451708,11190.75377,-358.79225,10,16,0,0.01
MRCB21,535.5,536,9918.617023,11190.95102,-359.22075,10,16,0,0.01
MRCB21,536,536.5,9918.782338,11191.14826,-359.64925,10,16,0,0.04
MRCB21,536.5,537,9918.947653,11191.34551,-360.07775,10,16,0,0.14
MRCB21,537,537.5,9919.112968,11191.54275,-360.50625,10,16,0,0.01
MRCB21,537.5,538,9919.278283,11191.74,-360.93475,10,16,0,0.01
MRCB21,538,538.5,9919.443598,11191.93724,-361.36325,10,8,0,0.01
MRCB21,538.5,539,9919.608913,11192.13449,-361.79175,10,8,0,0.02
MRCB21,539,539.5,9919.774228,11192.33173,-362.22025,10,8,0,0.01
MRCB21,539.5,540,9919.939543,11192.52898,-362.64875,11,17,0,0.29
MRCB21,540,540.5,9920.104858,11192.72622,-363.07725,11,17,0,0.08
MRCB21,540.5,541,9920.270173,11192.92347,-363.50575,11,17,0,0.21
MRCB21,541,541.5,9920.435488,11193.12071,-363.93425,1,18,0,0.02
MRCB21,541.5,542,9920.600803,11193.31796,-364.36275,1,18,0,0.01
MRCB21,542,542.5,9920.766118,11193.5152,-364.79125,1,18,0,0.01
MRCB21,542.5,543,9920.931433,11193.71245,-365.21975,1,18,0,0.05
MRCB21,543,543.5,9921.096748,11193.90969,-365.64825,1,18,0,0.01
MRCB21,543.5,544,9921.262063,11194.10694,-366.07675,1,18,0,0.08
MRCB21,544,544.5,9921.427378,11194.30418,-366.50525,1,8,0,0.07
MRCB21,544.5,545,9921.592693,11194.50143,-366.93375,1,8,0,0.01
MRCB21,545,545.5,9921.758008,11194.69867,-367.36225,1,8,0,0.02
MRCB21,545.5,546,9921.923323,11194.89592,-367.79075,1,8,0,0.02
MRCB21,546,546.5,9922.088638,11195.09316,-368.21925,4,18,0,0.02
MRCB21,546.5,547,9922.253953,11195.29041,-368.64775,4,18,0,0.1
MRCB21,547,547.5,9922.419268,11195.48765,-369.07625,4,19,0,0.08
MRCB21,547.5,548,9922.584583,11195.6849,-369.50475,4,19,0,0.06
MRCB21,548,548.5,9922.749898,11195.88214,-369.93325,4,19,0,0.18
MRCB21,548.5,549,9922.915213,11196.07939,-370.36175,4,19,0,0.04
MRCB21,549,549.5,9923.080528,11196.27663,-370.79025,4,19,0,0.26
MRCB21,549.5,550,9923.245843,11196.47388,-371.21875,4,19,0,0.09
MRCB21,550,550.5,9923.411158,11196.67112,-371.64725,12,18,0,0.07
MRCB21,550.5,551,9923.576473,11196.86837,-372.07575,12,18,0,0.14
MRCB21,551,551.5,9923.741788,11197.06561,-372.50425,12,18,0,0.3
MRCB21,551.5,552,9923.907103,11197.26286,-372.93275,12,18,0,0.27
MRCB21,552,552.5,9924.072418,11197.4601,-373.36125,12,18,0,0.3
MRCB21,552.5,553,9924.237733,11197.65735,-373.78975,12,18,0,0.11
MRCB21,553,553.5,9924.403048,11197.85459,-374.21825,13,20,0,0.12
MRCB21,553.5,554,9924.568363,11198.05184,-374.64675,13,20,0,0.01
MRCB21,554,554.5,9924.733678,11198.24908,-375.07525,13,20,0,0.06
MRCB21,554.5,555,9924.898993,11198.44633,-375.50375,13,20,0,0.29
MRCB21,555,555.5,9925.064308,11198.64357,-375.93225,13,20,0,0.07
MRCB21,555.5,556,9925.229623,11198.84082,-376.36075,13,20,0,0.08
MRCB21,556,556.5,9925.394938,11199.03806,-376.78925,13,20,0,0.14
MRCB21,556.5,557,9925.560253,11199.23531,-377.21775,13,20,0,0.07
MRCB21,557,557.5,9925.725568,11199.43255,-377.64625,13,20,0,0.05
MRCB21,557.5,558,9925.890883,11199.6298,-378.07475,13,20,0,0.37
MRCB21,558,558.5,9926.056198,11199.82704,-378.50325,13,20,0,0.21
MRCB21,558.5,559,9926.221513,11200.02429,-378.93175,13,20,0,0.17
MRCB21,559,559.5,9926.386828,11200.22153,-379.36025,8,18,0,0.28
MRCB21,559.5,560,9926.552143,11200.41878,-379.78875,8,18,0,0.22
MRCB21,560,560.5,9926.717458,11200.61602,-380.21725,11,8,0,0.01
MRCB21,560.5,561,9926.882773,11200.81327,-380.64575,11,8,0,0.01
MRCB21,561,561.5,9927.048088,11201.01051,-381.07425,11,8,0,0.07
MRCB21,561.5,562,9927.213403,11201.20776,-381.50275,11,8,0,0.07
MRCB21,562,562.5,9927.378718,11201.405,-381.93125,11,8,0,0.22
MRCB21,562.5,563,9927.544033,11201.60225,-382.35975,11,21,0,0.16
MRCB21,563,563.5,9927.709348,11201.79949,-382.78825,11,8,0,0.1
MRCB21,563.5,564,9927.874663,11201.99674,-383.21675,14,8,0,0.01
MRCB21,564,564.5,9928.039978,11202.19398,-383.64525,2,19,0,0.01
MRCB21,564.5,565,9928.205293,11202.39123,-384.07375,2,19,0,0.04
MRCB21,565,565.5,9928.370608,11202.58847,-384.50225,15,17,0,0.01
MRCB21,565.5,566,9928.535923,11202.78572,-384.93075,15,17,0,0.15
MRCB21,566,566.5,9928.701238,11202.98296,-385.35925,15,17,0,0.15
MRCB21,566.5,567,9928.866553,11203.18021,-385.78775,15,17,0,1.11
MRCB21,567,567.5,9929.031868,11203.37745,-386.21625,15,17,0,1.27
MRCB21,567.5,568,9929.197183,11203.5747,-386.64475,15,17,0,0.36
MRCB21,568,568.5,9929.362498,11203.77194,-387.07325,15,13,0,0.46
MRCB21,568.5,569,9929.527813,11203.96919,-387.50175,15,13,0,0.1
MRCB21,569,569.5,9929.693128,11204.16643,-387.93025,15,13,0,0.42
MRCB21,569.5,570,9929.858443,11204.36368,-388.35875,15,13,0,0.22
MRCB21,570,570.5,9930.023758,11204.56092,-388.78725,15,13,0,0.29
MRCB21,570.5,571,9930.189073,11204.75817,-389.21575,15,13,0,0.24
MRCB21,571,571.5,9930.354388,11204.95541,-389.64425,15,22,0,0.4
MRCB21,571.5,572,9930.519703,11205.15266,-390.07275,15,22,0,0.55
MRCB21,572,572.5,9930.685018,11205.3499,-390.50125,15,22,0,1.11
MRCB21,572.5,573,9930.850333,11205.54715,-390.92975,15,22,0,1.1
MRCB21,573,573.5,9931.015648,11205.74439,-391.35825,15,22,0,0.58
MRCB21,573.5,574,9931.180963,11205.94164,-391.78675,15,22,0,0.18
MRCB21,574,574.5,9931.346278,11206.13888,-392.21525,15,18,0,1.25
MRCB21,574.5,575,9931.511593,11206.33613,-392.64375,15,18,0,0.4
MRCB21,575,575.5,9931.676908,11206.53337,-393.07225,15,18,0,1.29
MRCB21,575.5,576,9931.842223,11206.73062,-393.50075,15,18,0,1.21
MRCB21,576,576.5,9932.007538,11206.92786,-393.92925,15,18,0,1.32
MRCB21,576.5,577,9932.172853,11207.12511,-394.35775,15,18,0,1.24
MRCB21,577,577.5,9932.338168,11207.32235,-394.78625,15,18,0,1.04
MRCB21,577.5,578,9932.503483,11207.5196,-395.21475,15,18,0,0.71
MRCB21,578,578.5,9932.668798,11207.71684,-395.64325,15,18,0,0.56
MRCB21,578.5,579,9932.834113,11207.91409,-396.07175,15,18,0,0.45
MRCB21,579,579.5,9932.999428,11208.11133,-396.50025,15,20,0,0.29
MRCB21,579.5,580,9933.164743,11208.30858,-396.92875,15,20,0,0.52
MRCB21,580,580.5,9933.330058,11208.50582,-397.35725,8,20,2,0.33
MRCB21,580.5,581,9933.495373,11208.70307,-397.78575,8,20,2,0.31
MRCB21,581,581.5,9933.660688,11208.90031,-398.21425,8,20,2,0.25
MRCB21,581.5,582,9933.826003,11209.09756,-398.64275,8,20,2,0.16
MRCB21,582,582.5,9933.991318,11209.2948,-399.07125,8,20,2,0.28
MRCB21,582.5,583,9934.156633,11209.49205,-399.49975,8,20,2,1.08
MRCB21,583,583.5,9934.321948,11209.68929,-399.92825,2,23,0,1.18
MRCB21,583.5,584,9934.487263,11209.88654,-400.35675,2,23,0,0.67
MRCB21,584,584.5,9934.652578,11210.08378,-400.78525,2,23,0,0.65
MRCB21,584.5,585,9934.817893,11210.28103,-401.21375,2,20,0,0.42
MRCB21,585,585.5,9934.983208,11210.47827,-401.64225,2,20,0,0.16
MRCB21,585.5,586,9935.148523,11210.67552,-402.07075,2,20,0,0.32
MRCB21,586,586.5,9935.313838,11210.87276,-402.49925,2,22,2,0.33
MRCB21,586.5,587,9935.479153,11211.07001,-402.92775,2,22,2,0.38
MRCB21,587,587.5,9935.644468,11211.26725,-403.35625,2,22,2,0.38
MRCB21,587.5,588,9935.809783,11211.4645,-403.78475,2,22,2,0.88
MRCB21,588,588.5,9935.975098,11211.66174,-404.21325,2,22,2,0.42
MRCB21,588.5,589,9936.140413,11211.85899,-404.64175,2,22,2,0.21
MRCB21,589,589.5,9936.305728,11212.05623,-405.07025,2,22,2,0.06
MRCB21,589.5,590,9936.471043,11212.25348,-405.49875,2,22,2,0.6
MRCB21,590,590.5,9936.636358,11212.45072,-405.92725,2,22,2,0.81
MRCB21,590.5,591,9936.801673,11212.64797,-406.35575,2,22,2,0.32
MRCB21,591,591.5,9936.966988,11212.84521,-406.78425,2,16,2,0.06
MRCB21,591.5,592,9937.132303,11213.04246,-407.21275,2,16,2,0.06
MRCB21,592,592.5,9937.297618,11213.2397,-407.64125,2,8,0,0.02
MRCB21,592.5,593,9937.462933,11213.43695,-408.06975,2,8,0,0.01
MRCB21,593,593.5,9937.628248,11213.63419,-408.49825,2,8,0,0.01
MRCB21,593.5,594,9937.793563,11213.83144,-408.92675,2,8,0,0.01
MRCB21,594,594.5,9937.958878,11214.02868,-409.35525,2,8,2,0.04
MRCB21,594.5,595,9938.124193,11214.22593,-409.78375,2,8,2,0.01
MRCB21,595,595.5,9938.289508,11214.42317,-410.21225,2,8,2,0.08
MRCB21,595.5,596,9938.454823,11214.62042,-410.64075,2,8,2,0.01
MRCB21,596,596.5,9938.620138,11214.81766,-411.06925,2,8,2,0.01
MRCB21,596.5,597,9938.785453,11215.01491,-411.49775,2,8,2,0.01
MRCB21,597,597.5,9938.950768,11215.21215,-411.92625,2,8,2,0.01
MRCB21,597.5,598,9939.116083,11215.4094,-412.35475,2,8,2,0.01
MRCB21,598,598.5,9939.281398,11215.60664,-412.78325,11,15,0,0.01
MRCB21,598.5,599,9939.446713,11215.80389,-413.21175,11,15,0,0.01
MRCB21,599,599.5,9939.612028,11216.00113,-413.64025,11,15,0,0.01
MRCB21,599.5,600,9939.777343,11216.19838,-414.06875,11,15,0,0.01
MRCB22,222,222.5,9787.541101,10740.30381,-82.248,12,14,0,0.01
MRCB22,222.5,223,9787.71091,10740.50642,-82.672,12,14,3,0.01
MRCB22,223,223.5,9787.880719,10740.70903,-83.096,12,20,3,0.01
MRCB22,223.5,224,9788.050528,10740.91163,-83.52,12,20,3,0.02
MRCB22,224,224.5,9788.220337,10741.11424,-83.944,12,20,3,0.01
MRCB22,224.5,225,9788.390146,10741.31685,-84.368,12,20,3,0.01
MRCB22,225,225.5,9788.559955,10741.51945,-84.792,12,14,3,0.01
MRCB22,225.5,226,9788.729764,10741.72206,-85.216,12,14,3,0.01
MRCB22,226,226.5,9788.899573,10741.92467,-85.64,12,24,4,0.01
MRCB22,226.5,227,9789.069382,10742.12727,-86.064,12,24,4,0.01
MRCB22,227,227.5,9789.239191,10742.32988,-86.488,12,24,4,0.01
MRCB22,227.5,228,9789.409,10742.53249,-86.912,12,24,4,0.01
MRCB22,228,228.5,9789.578809,10742.7351,-87.336,12,24,4,0.01
MRCB22,228.5,229,9789.748618,10742.9377,-87.76,12,24,4,0.01
MRCB22,229,229.5,9789.918427,10743.14031,-88.184,12,13,1,0.01
MRCB22,229.5,230,9790.088236,10743.34292,-88.608,12,13,1,0.01
MRCB22,230,230.5,9790.258045,10743.54552,-89.032,12,13,1,0.01
MRCB22,230.5,231,9790.427854,10743.74813,-89.456,12,13,1,0.01
MRCB22,231,231.5,9790.597663,10743.95074,-89.88,12,13,1,0.01
MRCB22,279,279.5,9806.899327,10763.40101,-130.584,16,14,4,0.01
MRCB22,279.5,280,9807.069136,10763.60362,-131.008,16,14,4,0.01
MRCB22,280,280.5,9807.238945,10763.80622,-131.432,16,25,5,0.12
MRCB22,280.5,281,9807.408754,10764.00883,-131.856,16,25,5,0.01
MRCB22,281,281.5,9807.578563,10764.21144,-132.28,16,25,5,0.01
MRCB22,281.5,282,9807.748372,10764.41404,-132.704,16,25,5,0.01
MRCB22,282,282.5,9807.918181,10764.61665,-133.128,16,25,5,0.01
MRCB22,282.5,283,9808.08799,10764.81926,-133.552,16,25,5,0.01
MRCB22,283,283.5,9808.257799,10765.02187,-133.976,17,25,2,0.01
MRCB22,283.5,284,9808.427608,10765.22447,-134.4,17,25,2,0.01
MRCB22,284,284.5,9808.597417,10765.42708,-134.824,17,25,2,0.01
MRCB22,284.5,285,9808.767226,10765.62969,-135.248,17,25,2,0.01
MRCB22,285,285.5,9808.937035,10765.83229,-135.672,17,25,2,0.01
MRCB22,285.5,286,9809.106844,10766.0349,-136.096,17,25,2,0.01
MRCB22,286,286.5,9809.276653,10766.23751,-136.52,17,15,2,0.01
MRCB22,286.5,287,9809.446462,10766.44011,-136.944,17,15,2,0.01
MRCB22,295.5,296,9812.503024,10770.08704,-144.576,9,26,4,0.01
MRCB22,296,296.5,9812.672833,10770.28965,-145,9,26,4,0.01
MRCB22,296.5,297,9812.842642,10770.49225,-145.424,9,26,4,0.01
MRCB22,297,297.5,9813.012451,10770.69486,-145.848,9,26,4,0.27
MRCB22,297.5,298,9813.18226,10770.89747,-146.272,9,26,4,0.02
MRCB22,298,298.5,9813.352069,10771.10008,-146.696,9,14,6,0.03
MRCB22,298.5,299,9813.521878,10771.30268,-147.12,9,14,6,0.1
MRCB22,299,299.5,9813.691687,10771.50529,-147.544,9,14,6,0.28
MRCB22,299.5,300,9813.861496,10771.7079,-147.968,9,14,6,0.08
MRCB22,300,300.5,9814.031305,10771.9105,-148.392,9,14,6,0.04
MRCB22,300.5,301,9814.201114,10772.11311,-148.816,9,14,6,0.04
MRCB22,301,301.5,9814.370923,10772.31572,-149.24,9,27,6,0.07
MRCB22,301.5,302,9814.540732,10772.51832,-149.664,9,27,6,0.2
MRCB22,302,302.5,9814.710541,10772.72093,-150.088,9,27,6,0.13
MRCB22,302.5,303,9814.88035,10772.92354,-150.512,11,14,2,0.18
MRCB22,303,303.5,9815.050159,10773.12615,-150.936,11,14,2,0.04
MRCB22,303.5,304,9815.219968,10773.32875,-151.36,11,14,2,0.04
MRCB22,312,312.5,9818.106721,10776.77307,-158.568,11,14,7,0.01
MRCB22,312.5,313,9818.27653,10776.97568,-158.992,11,14,7,0.01
MRCB22,313,313.5,9818.446339,10777.17829,-159.416,11,2,7,0.04
MRCB22,313.5,314,9818.616148,10777.38089,-159.84,11,2,1,0.05
MRCB22,314,314.5,9818.785957,10777.5835,-160.264,11,28,1,0.08
MRCB22,314.5,315,9818.955766,10777.78611,-160.688,11,29,1,0.08
MRCB22,315,315.5,9819.125575,10777.98871,-161.112,11,29,1,0.01
MRCB22,315.5,316,9819.295384,10778.19132,-161.536,11,25,1,0.1
MRCB22,316,316.5,9819.465193,10778.39393,-161.96,11,25,4,0.1
MRCB22,316.5,317,9819.635002,10778.59653,-162.384,11,25,4,0.06
MRCB22,317,317.5,9819.804811,10778.79914,-162.808,11,25,4,0.05
MRCB22,317.5,318,9819.97462,10779.00175,-163.232,11,25,4,0.09
MRCB22,318,318.5,9820.144429,10779.20436,-163.656,11,25,4,0.16
MRCB22,318.5,319,9820.314238,10779.40696,-164.08,11,1,4,0.12
MRCB22,319,319.5,9820.484047,10779.60957,-164.504,18,1,1,0.12
MRCB22,322,322.5,9821.502901,10780.82521,-167.048,18,14,2,0.01
MRCB22,322.5,323,9821.67271,10781.02782,-167.472,18,14,2,0.01
MRCB22,323,323.5,9821.842519,10781.23043,-167.896,3,30,0,0.15
MRCB22,323.5,324,9822.012328,10781.43303,-168.32,2,30,0,0.28
MRCB22,324,324.5,9822.182137,10781.63564,-168.744,2,30,0,0.13
MRCB22,324.5,325,9822.351946,10781.83825,-169.168,2,30,0,0.35
MRCB22,325,325.5,9822.521755,10782.04085,-169.592,2,31,1,0.07
MRCB22,325.5,326,9822.691564,10782.24346,-170.016,2,31,1,0.04
MRCB22,326,326.5,9822.861373,10782.44607,-170.44,2,31,1,0.08
MRCB22,326.5,327,9823.031182,10782.64867,-170.864,2,31,1,0.08
MRCB22,327,327.5,9823.200991,10782.85128,-171.288,2,14,1,0.01
MRCB22,327.5,328,9823.3708,10783.05389,-171.712,2,14,2,0.03
MRCB22,328,328.5,9823.540609,10783.2565,-172.136,11,14,0,0.04
MRCB22,328.5,329,9823.710418,10783.4591,-172.56,11,32,0,0.13
MRCB22,329,329.5,9823.880227,10783.66171,-172.984,11,32,2,0.18
MRCB22,329.5,330,9824.050036,10783.86432,-173.408,11,14,8,0.18
MRCB22,335.5,336,9826.087744,10786.2956,-178.496,11,15,0,0.13
MRCB22,336,336.5,9826.257553,10786.49821,-178.92,11,15,0,0.13
MRCB22,336.5,337,9826.427362,10786.70081,-179.344,11,16,0,0.25
